               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11511,            0.031993,            0.051901,           0.0005618,                0.02,          0.00033132,          3.3132e-05,             0.10344,            0.024256,            0.053259,              0.0901,              0.0011,              0.0011
                   1,             0.10266,            0.029392,            0.050277,             0.00197,             0.23333,           0.0042687,          0.00068918,            0.093017,            0.019706,            0.052033,            0.079262,           0.0022621,           0.0022621
                   2,            0.094244,            0.026679,            0.047943,           0.0012929,             0.34667,            0.034134,           0.0092886,            0.086676,            0.016172,             0.04872,            0.068385,           0.0033845,           0.0033845
                   3,            0.084192,            0.026188,             0.04606,             0.87652,            0.066667,            0.079811,            0.029024,            0.077706,            0.014005,            0.048829,            0.057467,           0.0044673,           0.0044673
                   4,            0.080984,            0.025304,            0.043268,             0.94364,            0.087288,             0.14922,            0.035521,            0.075541,            0.012659,            0.050582,            0.046511,           0.0055106,           0.0055106
                   5,            0.075713,            0.024467,            0.042121,             0.75833,             0.13333,              0.1906,            0.048177,            0.078533,            0.011755,            0.051447,            0.035514,           0.0065143,           0.0065143
                   6,            0.072288,            0.022631,              0.0413,             0.72685,                 0.1,             0.12285,            0.044564,            0.080583,            0.010801,            0.052816,            0.024478,           0.0074783,           0.0074783
                   7,            0.072809,            0.022836,            0.038099,             0.24348,             0.13333,             0.18005,            0.072792,            0.069651,            0.011116,            0.057028,            0.013403,           0.0084028,           0.0084028
                   8,            0.069629,            0.023543,            0.038184,             0.13615,             0.24667,             0.20561,            0.089141,            0.073712,           0.0096152,            0.062699,             0.00868,             0.00868,             0.00868
                   9,            0.064567,             0.02107,             0.03583,             0.20011,             0.32667,              0.3245,             0.10469,            0.063608,            0.010971,            0.071284,             0.00868,             0.00868,             0.00868
                  10,            0.060178,            0.022105,            0.032758,             0.22359,             0.42619,             0.29059,            0.095376,            0.069593,            0.011768,             0.07739,            0.008515,            0.008515,            0.008515
                  11,            0.059524,            0.019355,            0.031785,             0.42634,             0.44531,             0.37543,             0.15368,            0.063337,           0.0087163,            0.086998,             0.00835,             0.00835,             0.00835
                  12,            0.059734,             0.01946,            0.029208,             0.71714,             0.16817,             0.24921,            0.086068,            0.064685,           0.0085538,            0.090775,            0.008185,            0.008185,            0.008185
                  13,            0.055284,            0.017646,            0.027792,             0.11814,                0.28,             0.22698,             0.12138,            0.060791,           0.0082149,            0.092226,             0.00802,             0.00802,             0.00802
                  14,              0.0554,            0.017142,            0.024137,             0.25074,             0.47168,             0.39503,             0.15712,            0.057696,           0.0074221,             0.08948,            0.007855,            0.007855,            0.007855
                  15,            0.054686,            0.017056,            0.022791,             0.25408,             0.37004,             0.34087,             0.14342,            0.055309,            0.006877,            0.094742,             0.00769,             0.00769,             0.00769
                  16,             0.05242,            0.016625,            0.020645,             0.20759,             0.43328,             0.34498,             0.16539,            0.056411,           0.0067545,            0.095705,            0.007525,            0.007525,            0.007525
                  17,            0.054435,            0.016486,            0.018379,             0.32711,                0.32,              0.3618,             0.15038,            0.053489,            0.006318,            0.095718,             0.00736,             0.00736,             0.00736
                  18,            0.052341,            0.014871,            0.016056,             0.54365,             0.25333,             0.38249,             0.14575,            0.054333,             0.00638,            0.094738,            0.007195,            0.007195,            0.007195
                  19,            0.051213,            0.015072,            0.016234,             0.54467,             0.26534,             0.41738,             0.21835,            0.047523,           0.0061281,            0.094863,             0.00703,             0.00703,             0.00703
